sequence,source_url,slug,title,title_source,banner_filename,banner_path,seed_order,scheduled_at,source_kind,post_title,seo_title,eyebrow
1,https://kangoopouches.co.uk/blog/,blog-archive,Kangoo Pouches Blog,live-title,01-blog-archive.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\01-blog-archive.png,,,workbook-live,,,
2,https://kangoopouches.co.uk/blog/nicotine-pouches-vs-smoking/,nicotine-pouches-vs-smoking,Nicotine Pouches vs Smoking,live-title,02-nicotine-pouches-vs-smoking.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\02-nicotine-pouches-vs-smoking.png,,,workbook-live,,,
3,https://kangoopouches.co.uk/blog/do-nicotine-pouches-expire/,do-nicotine-pouches-expire,Do Nicotine Pouches Expire,live-title,03-do-nicotine-pouches-expire.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\03-do-nicotine-pouches-expire.png,,,workbook-live,,,
4,https://kangoopouches.co.uk/blog/best-nicotine-pouches-uk/,best-nicotine-pouches-uk,Best Nicotine Pouches UK (2026) - Top Picks Ranked,live-title,04-best-nicotine-pouches-uk.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\04-best-nicotine-pouches-uk.png,,,workbook-live,,,
5,https://kangoopouches.co.uk/blog/strongest-nicotine-pouches-uk/,strongest-nicotine-pouches-uk,Strong Nicotine Guide,live-title,05-strongest-nicotine-pouches-uk.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\05-strongest-nicotine-pouches-uk.png,,,workbook-live,,,
6,https://kangoopouches.co.uk/blog/zyn-vs-velo/,zyn-vs-velo,Zyn vs Velo,live-title,06-zyn-vs-velo.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\06-zyn-vs-velo.png,,,workbook-live,,,
7,https://kangoopouches.co.uk/blog/nicotine-pouches-for-beginners/,nicotine-pouches-for-beginners,Nicotine Pouches for Beginners,live-title,07-nicotine-pouches-for-beginners.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\07-nicotine-pouches-for-beginners.png,,,workbook-live,,,
8,https://kangoopouches.co.uk/blog/best-caffeine-pouches-uk/,best-caffeine-pouches-uk,Best Caffeine Pouches UK,live-title,08-best-caffeine-pouches-uk.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\08-best-caffeine-pouches-uk.png,,,workbook-live,,,
9,https://kangoopouches.co.uk/blog/how-to-use-nicotine-pouches/,how-to-use-nicotine-pouches,How to Use Nicotine Pouches,live-title,09-how-to-use-nicotine-pouches.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\09-how-to-use-nicotine-pouches.png,,,workbook-live,,,
10,https://kangoopouches.co.uk/blog/how-long-do-nicotine-pouches-last/,how-long-do-nicotine-pouches-last,How Long Do Nicotine Pouches Last,live-title,10-how-long-do-nicotine-pouches-last.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\10-how-long-do-nicotine-pouches-last.png,,,workbook-live,,,
11,https://kangoopouches.co.uk/blog/zyn-alternatives-uk/,zyn-alternatives-uk,Zyn Alternatives UK,live-title,11-zyn-alternatives-uk.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\11-zyn-alternatives-uk.png,,,workbook-live,,,
12,https://kangoopouches.co.uk/blog/killa-nicotine-pouches-guide-flavours-strengths-and-buying-tips/,killa-nicotine-pouches-guide-flavours-strengths-and-buying-tips,KILLA Nicotine Pouches UK | Flavours and Strengths,live-title,12-killa-nicotine-pouches-guide-flavours-strengths-and-buying-tips.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\12-killa-nicotine-pouches-guide-flavours-strengths-and-buying-tips.png,13,2026-06-02 09:00:00,seed-existing-live,"KILLA Nicotine Pouches Guide: Flavours, Strengths and Buying Tips",KILLA Nicotine Pouches UK | Flavours and Strengths,Brand Guide
13,https://kangoopouches.co.uk/blog/pablo-nicotine-pouches-guide-strong-pouches-flavours-and-who-they-suit/,pablo-nicotine-pouches-guide-strong-pouches-flavours-and-who-they-suit,PABLO Nicotine Pouches UK | Strong Pouch Guide,live-title,13-pablo-nicotine-pouches-guide-strong-pouches-flavours-and-who-they-suit.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\13-pablo-nicotine-pouches-guide-strong-pouches-flavours-and-who-they-suit.png,12,2026-06-01 09:00:00,seed-existing-live,"PABLO Nicotine Pouches Guide: Strong Pouches, Flavours and Who They Suit",PABLO Nicotine Pouches UK | Strong Pouch Guide,Brand Guide
14,https://kangoopouches.co.uk/blog/zyn-vs-velo-which-nicotine-pouch-brand-should-you-try/,zyn-vs-velo-which-nicotine-pouch-brand-should-you-try,ZYN vs VELO | Nicotine Pouch Brand Comparison,live-title,14-zyn-vs-velo-which-nicotine-pouch-brand-should-you-try.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\14-zyn-vs-velo-which-nicotine-pouch-brand-should-you-try.png,11,2026-05-31 09:00:00,seed-existing-live,ZYN vs VELO: Which Nicotine Pouch Brand Should You Try?,ZYN vs VELO | Nicotine Pouch Brand Comparison,Brand Guide
15,https://kangoopouches.co.uk/blog/velo-nicotine-pouches-guide-flavours-strengths-and-best-picks/,velo-nicotine-pouches-guide-flavours-strengths-and-best-picks,VELO Nicotine Pouches UK | Flavours and Strengths,live-title,15-velo-nicotine-pouches-guide-flavours-strengths-and-best-picks.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\15-velo-nicotine-pouches-guide-flavours-strengths-and-best-picks.png,10,2026-05-30 09:00:00,seed-existing-live,"VELO Nicotine Pouches Guide: Flavours, Strengths and Best Picks",VELO Nicotine Pouches UK | Flavours and Strengths,Brand Guide
16,https://kangoopouches.co.uk/blog/zyn-nicotine-pouches-guide-strengths-flavours-and-best-picks/,zyn-nicotine-pouches-guide-strengths-flavours-and-best-picks,ZYN Nicotine Pouches UK | Strengths and Flavours,live-title,16-zyn-nicotine-pouches-guide-strengths-flavours-and-best-picks.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\16-zyn-nicotine-pouches-guide-strengths-flavours-and-best-picks.png,9,2026-05-29 09:00:00,seed-existing-live,"ZYN Nicotine Pouches Guide: Strengths, Flavours and Best Picks",ZYN Nicotine Pouches UK | Strengths and Flavours,Brand Guide
17,https://kangoopouches.co.uk/blog/snus-vs-nicotine-pouches-what-is-the-difference-in-the-uk/,snus-vs-nicotine-pouches-what-is-the-difference-in-the-uk,Snus vs Nicotine Pouches | UK Difference Explained,live-title,17-snus-vs-nicotine-pouches-what-is-the-difference-in-the-uk.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\17-snus-vs-nicotine-pouches-what-is-the-difference-in-the-uk.png,8,2026-05-28 09:00:00,seed-existing-live,Snus vs Nicotine Pouches: What Is the Difference in the UK?,Snus vs Nicotine Pouches | UK Difference Explained,Education
18,https://kangoopouches.co.uk/blog/what-is-snus-meaning-uk-rules-and-tobacco-free-alternatives/,what-is-snus-meaning-uk-rules-and-tobacco-free-alternatives,"What Is Snus? UK Meaning, Rules and Alternatives",live-title,18-what-is-snus-meaning-uk-rules-and-tobacco-free-alternatives.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\18-what-is-snus-meaning-uk-rules-and-tobacco-free-alternatives.png,7,2026-05-27 09:00:00,seed-existing-live,"What Is Snus? Meaning, UK Rules and Tobacco-Free Alternatives","What Is Snus? UK Meaning, Rules and Alternatives",Education
19,https://kangoopouches.co.uk/blog/how-to-use-nicotine-pouches-placement-timing-and-tips/,how-to-use-nicotine-pouches-placement-timing-and-tips,How To Use Nicotine Pouches | Placement and Timing Guide,live-title,19-how-to-use-nicotine-pouches-placement-timing-and-tips.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\19-how-to-use-nicotine-pouches-placement-timing-and-tips.png,6,2026-05-26 09:00:00,seed-existing-live,"How To Use Nicotine Pouches: Placement, Timing and Tips",How To Use Nicotine Pouches | Placement and Timing Guide,Education
20,https://kangoopouches.co.uk/blog/strongest-nicotine-pouches-uk-strong-and-extra-strong-options-explained/,strongest-nicotine-pouches-uk-strong-and-extra-strong-options-explained,Strongest Nicotine Pouches UK | Strong and Extra Strong,live-title,20-strongest-nicotine-pouches-uk-strong-and-extra-strong-options-explained.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\20-strongest-nicotine-pouches-uk-strong-and-extra-strong-options-explained.png,5,2026-05-25 09:00:00,seed-existing-live,Strongest Nicotine Pouches UK: Strong and Extra Strong Options Explained,Strongest Nicotine Pouches UK | Strong and Extra Strong,Strength Guide
21,https://kangoopouches.co.uk/blog/nicotine-pouch-strength-guide-3mg-to-extra-strong-explained/,nicotine-pouch-strength-guide-3mg-to-extra-strong-explained,Nicotine Pouch Strength Guide | 3mg to Extra Strong,live-title,21-nicotine-pouch-strength-guide-3mg-to-extra-strong-explained.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\21-nicotine-pouch-strength-guide-3mg-to-extra-strong-explained.png,4,2026-05-24 09:00:00,seed-existing-live,Nicotine Pouch Strength Guide: 3mg to Extra Strong Explained,Nicotine Pouch Strength Guide | 3mg to Extra Strong,Strength Guide
22,https://kangoopouches.co.uk/blog/best-nicotine-pouches-uk-brands-strengths-and-flavours-compared/,best-nicotine-pouches-uk-brands-strengths-and-flavours-compared,Best Nicotine Pouches UK | Compare Brands and Strengths,live-title,22-best-nicotine-pouches-uk-brands-strengths-and-flavours-compared.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\22-best-nicotine-pouches-uk-brands-strengths-and-flavours-compared.png,3,2026-05-23 09:00:00,seed-existing-live,"Best Nicotine Pouches UK: Brands, Strengths and Flavours Compared",Best Nicotine Pouches UK | Compare Brands and Strengths,Strength Guide
23,https://kangoopouches.co.uk/blog/99p-nicotine-pouches-uk-how-kangoo-trial-pouches-work/,99p-nicotine-pouches-uk-how-kangoo-trial-pouches-work,99p Nicotine Pouches UK | Trial Pouches at Kangoo,live-title,23-99p-nicotine-pouches-uk-how-kangoo-trial-pouches-work.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\23-99p-nicotine-pouches-uk-how-kangoo-trial-pouches-work.png,2,2026-05-22 09:00:00,seed-existing-live,99p Nicotine Pouches UK: How Kangoo Trial Pouches Work,99p Nicotine Pouches UK | Trial Pouches at Kangoo,Buying Guide
24,https://kangoopouches.co.uk/blog/cheap-nicotine-pouches-uk-99p-trials-prices-and-multi-buy-tips/,cheap-nicotine-pouches-uk-99p-trials-prices-and-multi-buy-tips,Cheap Nicotine Pouches UK From 99p | Kangoo,live-title,24-cheap-nicotine-pouches-uk-99p-trials-prices-and-multi-buy-tips.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\24-cheap-nicotine-pouches-uk-99p-trials-prices-and-multi-buy-tips.png,1,2026-05-21 09:00:00,seed-existing-live,"Cheap Nicotine Pouches UK: 99p Trials, Prices and Multi-Buy Tips",Cheap Nicotine Pouches UK From 99p | Kangoo,Buying Guide
25,https://kangoopouches.co.uk/blog/mint-nicotine-pouches-guide-spearmint-peppermint-and-ice-options/,mint-nicotine-pouches-guide-spearmint-peppermint-and-ice-options,"Mint Nicotine Pouches UK | Spearmint, Peppermint and Ice",seed-seo-title,25-mint-nicotine-pouches-guide-spearmint-peppermint-and-ice-options.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\25-mint-nicotine-pouches-guide-spearmint-peppermint-and-ice-options.png,14,2026-06-03 09:00:00,seed-scheduled,"Mint Nicotine Pouches Guide: Spearmint, Peppermint and Ice Options","Mint Nicotine Pouches UK | Spearmint, Peppermint and Ice",Flavour Guide
26,https://kangoopouches.co.uk/blog/berry-nicotine-pouches-guide-cherry-berry-and-fruit-pouch-picks/,berry-nicotine-pouches-guide-cherry-berry-and-fruit-pouch-picks,Berry Nicotine Pouches UK | Cherry and Fruit Pouch Guide,seed-seo-title,26-berry-nicotine-pouches-guide-cherry-berry-and-fruit-pouch-picks.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\26-berry-nicotine-pouches-guide-cherry-berry-and-fruit-pouch-picks.png,15,2026-06-04 09:00:00,seed-scheduled,"Berry Nicotine Pouches Guide: Cherry, Berry and Fruit Pouch Picks",Berry Nicotine Pouches UK | Cherry and Fruit Pouch Guide,Flavour Guide
27,https://kangoopouches.co.uk/blog/are-nicotine-pouches-legal-in-the-uk-snus-age-rules-and-buying-online/,are-nicotine-pouches-legal-in-the-uk-snus-age-rules-and-buying-online,Are Nicotine Pouches Legal in the UK? Rules Explained,seed-seo-title,27-are-nicotine-pouches-legal-in-the-uk-snus-age-rules-and-buying-online.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\27-are-nicotine-pouches-legal-in-the-uk-snus-age-rules-and-buying-online.png,16,2026-06-05 09:00:00,seed-scheduled,"Are Nicotine Pouches Legal in the UK? Snus, Age Rules and Buying Online",Are Nicotine Pouches Legal in the UK? Rules Explained,Education
28,https://kangoopouches.co.uk/blog/tobacco-free-nicotine-pouches-explained-what-is-inside-a-pouch/,tobacco-free-nicotine-pouches-explained-what-is-inside-a-pouch,Tobacco-Free Nicotine Pouches Explained | Kangoo Guide,seed-seo-title,28-tobacco-free-nicotine-pouches-explained-what-is-inside-a-pouch.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\28-tobacco-free-nicotine-pouches-explained-what-is-inside-a-pouch.png,17,2026-06-06 09:00:00,seed-scheduled,Tobacco-Free Nicotine Pouches Explained: What Is Inside a Pouch?,Tobacco-Free Nicotine Pouches Explained | Kangoo Guide,Education
29,https://kangoopouches.co.uk/blog/nicotine-pouches-vs-vapes-format-differences-for-adult-nicotine-users/,nicotine-pouches-vs-vapes-format-differences-for-adult-nicotine-users,Nicotine Pouches vs Vapes | Key Format Differences,seed-seo-title,29-nicotine-pouches-vs-vapes-format-differences-for-adult-nicotine-users.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\29-nicotine-pouches-vs-vapes-format-differences-for-adult-nicotine-users.png,18,2026-06-07 09:00:00,seed-scheduled,Nicotine Pouches vs Vapes: Format Differences for Adult Nicotine Users,Nicotine Pouches vs Vapes | Key Format Differences,Education
30,https://kangoopouches.co.uk/blog/what-are-nicotine-pouches-uk-beginner-guide/,what-are-nicotine-pouches-uk-beginner-guide,What Are Nicotine Pouches? UK Beginner Guide | Kangoo,seed-seo-title,30-what-are-nicotine-pouches-uk-beginner-guide.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\30-what-are-nicotine-pouches-uk-beginner-guide.png,19,2026-06-08 09:00:00,seed-scheduled,What Are Nicotine Pouches? UK Beginner Guide,What Are Nicotine Pouches? UK Beginner Guide | Kangoo,Buying Guide
31,https://kangoopouches.co.uk/blog/nicotine-pouches-side-effects-what-adult-users-should-know/,nicotine-pouches-side-effects-what-adult-users-should-know,Nicotine Pouches Side Effects | Adult User Guide,seed-seo-title,31-nicotine-pouches-side-effects-what-adult-users-should-know.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\31-nicotine-pouches-side-effects-what-adult-users-should-know.png,20,2026-06-09 09:00:00,seed-scheduled,Nicotine Pouches Side Effects: What Adult Users Should Know,Nicotine Pouches Side Effects | Adult User Guide,Buying Guide
32,https://kangoopouches.co.uk/blog/snus-meaning-what-people-mean-by-snus-in-the-uk/,snus-meaning-what-people-mean-by-snus-in-the-uk,Snus Meaning UK | Snus vs Nicotine Pouches,seed-seo-title,32-snus-meaning-what-people-mean-by-snus-in-the-uk.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\32-snus-meaning-what-people-mean-by-snus-in-the-uk.png,21,2026-06-10 09:00:00,seed-scheduled,Snus Meaning: What People Mean by Snus in the UK,Snus Meaning UK | Snus vs Nicotine Pouches,Education
33,https://kangoopouches.co.uk/blog/snus-uk-legal-alternatives-to-traditional-snus/,snus-uk-legal-alternatives-to-traditional-snus,Snus UK Guide | Legal Tobacco-Free Alternatives,seed-seo-title,33-snus-uk-legal-alternatives-to-traditional-snus.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\33-snus-uk-legal-alternatives-to-traditional-snus.png,22,2026-06-11 09:00:00,seed-scheduled,Snus UK: Legal Alternatives to Traditional Snus,Snus UK Guide | Legal Tobacco-Free Alternatives,Education
34,https://kangoopouches.co.uk/blog/nicotine-pouches-vs-nicotine-gum-lozenges-and-patches/,nicotine-pouches-vs-nicotine-gum-lozenges-and-patches,"Nicotine Pouches vs Gum, Lozenges and Patches",seed-seo-title,34-nicotine-pouches-vs-nicotine-gum-lozenges-and-patches.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\34-nicotine-pouches-vs-nicotine-gum-lozenges-and-patches.png,23,2026-06-12 09:00:00,seed-scheduled,"Nicotine Pouches vs Nicotine Gum, Lozenges and Patches","Nicotine Pouches vs Gum, Lozenges and Patches",Buying Guide
35,https://kangoopouches.co.uk/blog/zyn-pouches-guide-flavours-strengths-and-buying-tips/,zyn-pouches-guide-flavours-strengths-and-buying-tips,"ZYN Pouches UK | Flavours, Strengths and Buying Tips",seed-seo-title,35-zyn-pouches-guide-flavours-strengths-and-buying-tips.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\35-zyn-pouches-guide-flavours-strengths-and-buying-tips.png,24,2026-06-13 09:00:00,seed-scheduled,"ZYN Pouches Guide: Flavours, Strengths and Buying Tips","ZYN Pouches UK | Flavours, Strengths and Buying Tips",Brand Guide
